"","lon","lat"
"177",-91.2609489,43.8438743
"178",-91.2610686,43.8435759
"179",-91.263343,43.8431589
"180",-91.262516,43.8433174
"181",-91.2638506,43.8438065
"182",-91.263719,43.8430802
"183",-91.2644145,43.8438377
"184",-91.2644145,43.8438377
"185",-91.262333,43.843993
"186",-91.2622152,43.8431714
"187",-91.2603355,43.843192
"188",-91.2603355,43.843192
"189",-91.2614633,43.84094
"190",-91.2650161,43.8410689
"191",-91.2644058,43.8415334
"192",-91.2627603,43.8412057
"193",-91.2626748,43.842316
"194",-91.2626851,43.8419531
"195",-91.2642641,43.8416371
"196",-91.2631927,43.8418169
"197",-91.2629671,43.8404756
"198",-91.2637942,43.8415116
"199",-91.2638847,43.8427324
"200",-91.2621588,43.8400552
"201",-91.2621588,43.8400552
"202",-91.2629107,43.8400469
"203",-91.2626475,43.8384447
"204",-91.2633376,43.837505
"205",-91.2643017,43.8399196
"206",-91.2629671,43.8390571
"207",-91.2642453,43.8374752
"208",-91.2597153,43.8394475
"209",-91.2642265,43.8386513
"210",-91.2632267,43.8390327
"211",-91.2549038,43.8457337
"212",-91.2547722,43.8436263
"213",-91.2553548,43.8468112
"214",-91.2674975,43.8719387
"215",-91.2558247,43.8463021
"216",-91.2541708,43.8431103
"217",-91.2674787,43.8546829
"218",-91.2724609,43.8775162
"219",-91.2611334,43.8502425
"220",-91.255524,43.8477984
"221",-91.2561254,43.8477171
"222",-91.2596,43.842231
"223",-91.2618957,43.8415512
"224",-91.2632115,43.8419846
"225",-91.2586439,43.8554146
"226",-91.267588,43.896019
"227",-91.2589071,43.8573148
"228",-91.2589071,43.8573148
"229",-91.2648657,43.842265
"230",-91.2646965,43.8453835
"231",-91.2693587,43.8650351
"232",-91.2694339,43.8690634
"233",-91.260298,43.8586802
"234",-91.260298,43.8586802
"235",-91.2696684,43.8576532
"236",-91.2610498,43.8601644
"237",-91.2610498,43.8601644
"238",-91.2673689,43.8501443
"239",-91.2605235,43.8308336
"240",-91.266614,43.85264
"241",-91.2547534,43.8662964
"242",-91.254791,43.8664453
"243",-91.2546971,43.8690764
"244",-91.2595837,43.8652175
"245",-91.2595085,43.8655168
"246",-91.2686067,43.870714
"247",-91.2595649,43.8650498
"248",-91.265196,43.8613844
"249",-91.2625134,43.8616028
"250",-91.2605799,43.8619046
"251",-91.2603168,43.8617583
"252",-91.2549978,43.8510137
"253",-91.2561142,43.8526175
"254",-91.2690579,43.8694407
"255",-91.2690579,43.8694407
"256",-91.2595837,43.8597701
"257",-91.2631739,43.837431
"258",-91.2596777,43.8590041
"259",-91.2703969,43.8946366
"260",-91.2706371,43.8940386
"261",-91.2704303,43.8921205
"262",-91.2704867,43.8916538
"263",-91.2705619,43.8913547
"264",-91.2707875,43.8907556
"265",-91.2704019,43.8910598
"266",-91.2595837,43.8592477
"267",-91.2589259,43.8592363
"268",-91.2598495,43.861844
"269",-91.257634,43.8588102
"270",-91.257634,43.8588102
"271",-91.257634,43.8588102
"272",-91.2564261,43.857342
"273",-91.2756008,43.8730985
"274",-91.2724232,43.8688997
"275",-91.2724232,43.8688997
"276",-91.2716801,43.871482
"277",-91.2755444,43.8722598
"278",-91.2754504,43.8718318
"279",-91.2754504,43.8715334
"280",-91.2720472,43.8830408
"281",-91.2727241,43.8827722
"282",-91.2732505,43.8829901
"283",-91.2744163,43.8819329
"284",-91.2751496,43.8796683
"285",-91.2752248,43.8788469
"286",-91.2546707,43.8661195
"287",-91.2740026,43.8798862
"288",-91.271314,43.8743397
"289",-91.2731377,43.8747112
"290",-91.2575726,43.8656313
"291",-91.2739274,43.8733595
"292",-91.2575726,43.8654075
"293",-91.2575726,43.8654075
"294",-91.2703363,43.8821087
"295",-91.2576102,43.8649966
"296",-91.2576102,43.8647728
"297",-91.2709943,43.8800688
"298",-91.2576102,43.8640639
"299",-91.2710132,43.8780731
"300",-91.2575538,43.8638966
"301",-91.2576102,43.8636162
"302",-91.2716148,43.8813486
"303",-91.2576102,43.8629446
"304",-91.2575538,43.8627027
"305",-91.273871,43.8705064
"306",-91.272348,43.8705047
"307",-91.2719156,43.869782
"308",-91.2731189,43.8698433
"309",-91.2701859,43.8680852
"310",-91.2701936,43.8674105
"311",-91.2740214,43.8674457
"312",-91.274153,43.867724
"313",-91.2585312,43.8656021
"314",-91.2698871,43.8618786
"315",-91.2733445,43.8646924
"316",-91.2732693,43.8644694
"317",-91.2731941,43.8642464
"318",-91.2586063,43.8653028
"319",-91.2586063,43.865079
"320",-91.2586063,43.8647805
"321",-91.2586063,43.8645567
"322",-91.2586063,43.8639597
"323",-91.2718404,43.8762736
"324",-91.2585875,43.8636055
"325",-91.2716148,43.8783648
"326",-91.2586063,43.8633627
"327",-91.2586063,43.8632135
"328",-91.2586251,43.8630454
"329",-91.2690579,43.8568298
"330",-91.2702047,43.8654175
"331",-91.2586063,43.8628404
"332",-91.2707875,43.8659147
"333",-91.2586063,43.8625419
"334",-91.271784,43.8667803
"335",-91.272442,43.8656725
"336",-91.2723668,43.8659718
"337",-91.272442,43.8664932
"338",-91.2586251,43.8622619
"339",-91.2727429,43.8665645
"340",-91.2727429,43.8654453
"341",-91.273589,43.8666484
"342",-91.273495,43.8664069
"343",-91.258174,43.8622668
"344",-91.273589,43.8654545
"345",-91.2735702,43.8652122
"346",-91.2714456,43.864956
"347",-91.2720848,43.8649489
"348",-91.258174,43.8624534
"349",-91.258174,43.8626399
"350",-91.2581552,43.8628454
"351",-91.2729873,43.8633346
"352",-91.2731753,43.8640414
"353",-91.2727993,43.8671048
"354",-91.258174,43.8630504
"355",-91.2581552,43.8633677
"356",-91.258174,43.86361
"357",-91.258174,43.8637966
"358",-91.258174,43.8637966
"359",-91.2581552,43.8639647
"360",-91.2582033,43.864191
"361",-91.2581364,43.8643566
"362",-91.2717652,43.8670977
"363",-91.2581552,43.8645616
"364",-91.2714644,43.867101
"365",-91.2581364,43.864767
"366",-91.2707875,43.8682277
"367",-91.2581364,43.8649536
"368",-91.2707123,43.8636023
"369",-91.2702611,43.8638312
"370",-91.2702611,43.8636073
"371",-91.2712388,43.8630742
"372",-91.2582304,43.8650831
"373",-91.2581364,43.8653267
"374",-91.2582304,43.8656054
"375",-91.2595837,43.8647698
"376",-91.2595837,43.8644713
"377",-91.2622888,43.848761
"378",-91.2570173,43.8558254
"379",-91.2707006,43.8842943
"380",-91.2794744,43.8697353
"381",-91.2596025,43.8643032
"382",-91.265569,43.861933
"383",-91.2572487,43.8555443
"384",-91.2595837,43.8640236
"385",-91.259597,43.863734
"386",-91.2794744,43.8697353
"387",-91.2596025,43.8633332
"388",-91.2595837,43.8630535
"389",-91.2595837,43.8629043
"390",-91.2596025,43.8626243
"391",-91.2596025,43.8622138
"392",-91.259189,43.8622184
"393",-91.259189,43.8624422
"394",-91.2591514,43.8627038
"395",-91.2591514,43.862965
"396",-91.2591514,43.8631142
"397",-91.2591514,43.8633008
"398",-91.259189,43.8637108
"399",-91.259189,43.8638973
"400",-91.2591326,43.8641032
"401",-91.259189,43.8646062
"402",-91.2591326,43.8648494
"403",-91.2553319,43.8703767
"404",-91.2629107,43.8571775
"405",-91.2656176,43.8724071
"406",-91.2694339,43.8722716
"407",-91.2606927,43.8640674
"408",-91.2603919,43.8639588
"409",-91.2602792,43.8642958
"410",-91.2607303,43.8644774
"411",-91.2603168,43.8644446
"412",-91.2602792,43.8647062
"413",-91.2607303,43.8647012
"414",-91.2607303,43.8648878
"415",-91.2603355,43.8649108
"416",-91.2602792,43.8650793
"417",-91.2607303,43.8651116
"418",-91.2607478,43.8652877
"419",-91.2602716,43.865278
"420",-91.2602924,43.8655201
"421",-91.2607285,43.8655014
"422",-91.2607867,43.8625926
"423",-91.2602792,43.8626168
"424",-91.2607303,43.8627611
"425",-91.2607115,43.8629665
"426",-91.2603168,43.8628776
"427",-91.2603355,43.8632691
"428",-91.2607867,43.8631896
"429",-91.2607679,43.8634323
"430",-91.2607303,43.8636566
"431",-91.2602792,43.8635869
"432",-91.2633618,43.8621725
"433",-91.2630235,43.8621762
