"","SampleNumber","Well_Type","Parcel_ID","Site_Address","SampleID","Field.Duplicate..Y.N.","PFBA","PFPeA","PFHxA","PFHpA","PFOA","PFNA","PFDA","PFUnA","PFDoA","PFTriA","PFTeA","PFHxDA","PFODA","PFBS","PFPeS","PFHxS","PFHpS","PFOS","PFNS","PFDS","PFDoS","X4.2.FTSA","X6.2.FTSA","X8.2.FTSA","X10.2.FTSA","FOSA","NMeFOSA","NEtFOSA","NMeFOSAA","NEtFOSAA","NMeFOSE","NEtFOSE","HFPO.DA","DONA","X9Cl.PF3ONS","X11Cl.PF3OUdS","SUM_PFOS_PFOA","SUM_FOSA_NEtFOSE_NEtFOSA_NetFOSAA_PFOS_PFOA","Exceedance_RES","Exceedance_PAL","HI","No_Detections","X","Latitude","Longitude"
"432","354-0","OS Group Sample","4-00354-000","310 CALLAWAY BOULEVARD","","",1.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.1,"N","",0.1,"N",NA,43.8621725,-91.2633618
"433","355-0","OS Group Sample","4-00355-000","306 CALLAWAY BOULEVARD","","",1.2,-999,-999,-999,1.8,-999,-999,-999,-999,-999,-999,-999,-999,0.87,-999,4.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.8,1.8,"N","",0.2,"N",NA,43.8621762,-91.2630235
"434","356-0","OS Group Sample","4-00356-000","304 CALLAWAY BOULEVARD","","",3.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.1,-999,1.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"N","",0,"N",NA,43.8621795,-91.2627227
"435","357-0","OS Group Sample","4-00357-000","302 CALLAWAY BOULEVARD","","",6.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.7,-999,1.8,-999,3.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.1,3.1,"N","",0.2,"N",NA,43.8621267,-91.2624408
"436","358-0","OS Group Sample","4-00358-000","300 CALLAWAY BOULEVARD","","",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.3,-999,1.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.6,1.6,"N","",0.2,"N",NA,43.8621488,-91.2621212
"437","359-0","OS Group Sample","4-00359-000","212 CALLAWAY BOULEVARD","","",8.5,1.6,1.2,-999,3.2,-999,-999,-999,-999,-999,-999,-999,-999,3.9,6.4,73,-999,3.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.1,7.1,"Y","",2.2,"N",NA,43.8621517,-91.2618581
"438","360-0","OS Group Sample","4-00360-000","208 CALLAWAY BOULEVARD","","",150,-999,1.8,-999,26,-999,-999,-999,-999,-999,-999,-999,-999,7.9,5.9,15,-999,11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.2,-999,-999,-999,37,37,"Y","",2.2,"N",NA,43.8621366,-91.2615385
"439","361-0","OS Group Sample","4-00361-000","204 CALLAWAY BOULEVARD","","",8.6,-999,-999,-999,0.93,-999,-999,-999,-999,-999,-999,-999,-999,3.1,2,3.7,-999,1.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.83,2.83,"N","",0.2,"N",NA,43.8621231,-91.2610686
"440","362-0","OS Group Sample","4-00362-000","110 CALLAWAY BOULEVARD","","",2.1,-999,-999,-999,1.9,-999,-999,-999,-999,-999,-999,-999,-999,1.7,-999,1.6,-999,1.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.5,3.5,"N","",0.2,"N",NA,43.8621645,-91.2606927
"441","363-0","OS Group Sample","4-00363-000","2501 BAINBRIDGE STREET","","",4.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.6,-999,2.5,-999,3.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.7,3.7,"N","",0.2,"N",NA,43.862149,-91.260283
"442","364-0","OS Group Sample","4-00364-000","2502 2ND AVENUE W","","",7.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"N","",0,"N",NA,43.8625802,-91.2619145
"443","365-0","OS Group Sample","4-00365-000","2501 1ST AVENUE W","","",1.9,1.2,1.5,-999,3.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.2,-999,7.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11.1,11.1,"N","",0.7,"N",NA,43.862586,-91.2613881
"444","366-0","OS Group Sample","4-00366-000","2505 1ST AVENUE W","","",13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.9,2.1,5.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"N","",0.1,"N",NA,43.8628098,-91.2613881
